borrower_id,age,annual_income_eur,loan_amount_eur,loan_type,lti_ratio,ltv_ratio,tenure_years,rate_type,employment_sector,credit_score,probability_of_default,risk_grade,monthly_repayment_eur,dti_monthly_ratio,ecb_shock_monthly_eur,affordability_stress
1156,49,135330,283330,Personal Loan,2.09,0.535,1,Fixed,Self-Employed,541,0.0758,C – Standard,2390,0.212,0,Comfortable
1157,27,27348,132479,Personal Loan,4.84,0.827,6,Fixed,Employed,429,0.2281,E – Doubtful,1117,0.49,0,Stressed
1158,61,90439,174090,Personal Loan,1.92,0.644,34,Fixed,Self-Employed,846,0.0807,C – Standard,1469,0.195,0,Comfortable
1159,39,50486,340799,Personal Loan,6.75,0.622,27,Fixed,Employed,777,0.2039,E – Doubtful,2875,0.683,0,Stressed
1160,37,68772,98074,Personal Loan,1.43,0.645,12,Tracker,Self-Employed,725,0.0807,C – Standard,827,0.144,367,Comfortable
1161,48,24536,485330,Mortgage,19.78,0.73,30,Fixed,Employed,532,0.1982,D – Substandard,4095,2.003,0,Stressed
1162,44,90816,86117,Personal Loan,0.95,0.617,1,Variable,Public Sector,604,0.0669,C – Standard,726,0.096,129,Comfortable
1163,61,68209,148754,Car Finance,2.18,0.795,2,Variable,Employed,820,0.0491,B – Near Prime,1255,0.221,223,Comfortable
1164,46,48226,106659,Personal Loan,2.21,0.774,31,Fixed,Employed,589,0.0595,C – Standard,900,0.224,0,Comfortable
1165,45,64276,599205,Mortgage,9.32,0.704,23,Fixed,Employed,753,0.1299,D – Substandard,5056,0.944,0,Stressed
1166,26,35542,136374,Car Finance,3.84,0.477,21,Fixed,Public Sector,764,0.1028,D – Substandard,1150,0.388,0,Stretched
1167,23,38431,136562,Personal Loan,3.55,0.918,12,Fixed,Employed,742,0.1075,D – Substandard,1152,0.36,0,Stretched
1168,40,40350,146691,Mortgage,3.64,0.656,28,Fixed,Employed,630,0.0822,C – Standard,1237,0.368,0,Stretched
1169,67,22513,189582,Personal Loan,8.42,0.675,21,Tracker,Employed,489,0.1491,D – Substandard,1599,0.852,710,Stressed
1170,64,70399,150145,Personal Loan,2.13,0.678,15,Fixed,Public Sector,486,0.0836,C – Standard,1267,0.216,0,Comfortable
1171,50,80859,167194,Personal Loan,2.07,0.633,13,Fixed,Employed,746,0.0434,B – Near Prime,1410,0.209,0,Comfortable
1172,51,36513,25820,Mortgage,0.71,0.787,13,Tracker,Self-Employed,529,0.0752,C – Standard,217,0.071,96,Comfortable
1173,40,56740,185616,Mortgage,3.27,0.457,20,Variable,Employed,436,0.0846,C – Standard,1566,0.331,278,Stretched
1174,30,43847,181642,Car Finance,4.14,0.887,23,Variable,Employed,400,0.1785,D – Substandard,1532,0.419,272,Stressed
1175,22,56267,318447,Car Finance,5.66,0.501,28,Fixed,Employed,638,0.1953,D – Substandard,2687,0.573,0,Stressed
1176,37,37662,369528,Mortgage,9.81,0.95,14,Tracker,Self-Employed,827,0.1866,D – Substandard,3118,0.993,1385,Stressed
1177,36,33825,162228,Car Finance,4.8,0.764,9,Variable,Employed,508,0.146,D – Substandard,1368,0.485,243,Stressed
1178,30,76257,281792,Mortgage,3.7,0.483,19,Variable,Other,658,0.1169,D – Substandard,2377,0.374,422,Stretched
1179,33,47723,98138,Mortgage,2.06,0.731,20,Variable,Employed,469,0.0781,C – Standard,828,0.208,147,Comfortable
1180,23,114609,274316,Personal Loan,2.39,0.616,10,Fixed,Self-Employed,519,0.1026,D – Substandard,2314,0.242,0,Comfortable
1181,49,49983,131286,Mortgage,2.63,0.927,3,Tracker,Employed,524,0.0645,C – Standard,1107,0.266,492,Comfortable
1182,64,33224,93752,Mortgage,2.82,0.828,12,Tracker,Employed,497,0.0827,C – Standard,791,0.286,351,Stretched
1183,53,82068,162417,Credit Card,1.98,0.704,3,Variable,Public Sector,766,0.0956,C – Standard,1370,0.2,243,Comfortable
1184,42,63891,388582,Mortgage,6.08,0.665,3,Fixed,Public Sector,798,0.1308,D – Substandard,3279,0.616,0,Stressed
1185,41,66521,198700,Mortgage,2.99,0.948,33,Variable,Self-Employed,447,0.101,D – Substandard,1676,0.302,298,Stretched
1186,36,80825,409654,Mortgage,5.07,0.784,27,Fixed,Public Sector,498,0.1313,D – Substandard,3456,0.513,0,Stressed
1187,28,37265,119156,Personal Loan,3.2,0.707,2,Variable,Employed,310,0.1449,D – Substandard,1005,0.324,178,Stretched
1188,49,46469,320077,Personal Loan,6.89,0.649,12,Fixed,Retired,716,0.1379,D – Substandard,2700,0.697,0,Stressed
1189,48,45614,125657,Mortgage,2.75,0.612,9,Tracker,Employed,689,0.0585,C – Standard,1060,0.279,471,Comfortable
1190,22,28506,203603,Mortgage,7.14,0.803,34,Tracker,Public Sector,759,0.1847,D – Substandard,1718,0.723,763,Stressed
1191,41,43883,202637,Personal Loan,4.62,0.744,15,Fixed,Public Sector,607,0.1379,D – Substandard,1709,0.467,0,Stressed
1192,34,85929,258802,Personal Loan,3.01,0.874,9,Variable,Employed,800,0.0765,C – Standard,2183,0.305,388,Stretched
1193,29,54159,206469,Car Finance,3.81,0.727,22,Tracker,Self-Employed,377,0.2018,E – Doubtful,1742,0.386,774,Stretched
1194,54,27851,119784,Mortgage,4.3,0.741,17,Fixed,Other,505,0.1049,D – Substandard,1010,0.435,0,Stressed
1195,46,25502,291900,Car Finance,11.45,0.689,7,Fixed,Employed,546,0.1783,D – Substandard,2463,1.159,0,Stressed
1196,51,98637,466219,Credit Card,4.73,0.831,11,Fixed,Employed,720,0.1951,D – Substandard,3934,0.479,0,Stressed
1197,54,47196,130471,Mortgage,2.76,0.657,5,Tracker,Self-Employed,420,0.1021,D – Substandard,1100,0.28,489,Comfortable
1198,67,37349,65553,Mortgage,1.76,0.876,24,Fixed,Employed,479,0.0775,C – Standard,553,0.178,0,Comfortable
1199,58,43692,236718,Personal Loan,5.42,0.614,34,Fixed,Employed,351,0.1694,D – Substandard,1997,0.548,0,Stressed
1200,50,26358,149919,Car Finance,5.69,0.796,28,Fixed,Public Sector,819,0.1374,D – Substandard,1265,0.576,0,Stressed
1201,62,89116,167358,Mortgage,1.88,0.896,13,Fixed,Retired,549,0.0562,C – Standard,1412,0.19,0,Comfortable
1202,43,41561,244237,Mortgage,5.88,0.835,17,Fixed,Employed,306,0.3072,E – Doubtful,2061,0.595,0,Stressed
1203,67,87056,139942,Personal Loan,1.61,0.621,3,Variable,Retired,429,0.1058,D – Substandard,1180,0.163,209,Comfortable
1204,57,50095,155147,Car Finance,3.1,0.803,13,Fixed,Employed,613,0.0848,C – Standard,1309,0.314,0,Stretched
1205,51,89357,170234,Mortgage,1.91,0.553,2,Variable,Employed,570,0.0565,C – Standard,1436,0.193,255,Comfortable
1206,63,54601,403674,Mortgage,7.39,0.479,26,Variable,Employed,580,0.1805,D – Substandard,3406,0.749,605,Stressed
1207,45,70147,182871,Mortgage,2.61,0.846,31,Tracker,Employed,334,0.1059,D – Substandard,1543,0.264,685,Comfortable
1208,55,66304,91160,Credit Card,1.37,0.854,7,Fixed,Self-Employed,782,0.0758,C – Standard,769,0.139,0,Comfortable
1209,35,63689,93177,Personal Loan,1.46,0.461,23,Variable,Employed,756,0.0654,C – Standard,786,0.148,139,Comfortable
1210,66,56734,194186,Mortgage,3.42,0.924,21,Variable,Employed,418,0.1308,D – Substandard,1638,0.346,291,Stretched
1211,50,44453,96646,Car Finance,2.17,0.673,15,Fixed,Self-Employed,501,0.088,C – Standard,815,0.22,0,Comfortable
1212,57,109587,76170,Personal Loan,0.7,0.903,25,Fixed,Self-Employed,348,0.0963,C – Standard,642,0.07,0,Comfortable
1213,43,33492,255134,Car Finance,7.62,0.844,24,Fixed,Self-Employed,370,0.1819,D – Substandard,2152,0.771,0,Stressed
1214,61,49109,262098,Mortgage,5.34,0.9,10,Variable,Self-Employed,765,0.1602,D – Substandard,2211,0.54,393,Stressed
1215,25,49328,146902,Mortgage,2.98,0.867,28,Fixed,Other,362,0.1207,D – Substandard,1239,0.301,0,Stretched
1216,27,58047,211401,Mortgage,3.64,0.937,23,Tracker,Self-Employed,492,0.1721,D – Substandard,1783,0.369,792,Stretched
1217,45,40930,199479,Mortgage,4.87,0.765,11,Tracker,Retired,846,0.1147,D – Substandard,1683,0.493,748,Stressed
1218,55,55948,250529,Car Finance,4.48,0.564,25,Variable,Retired,478,0.2014,E – Doubtful,2114,0.453,375,Stressed
1219,59,45664,250850,Personal Loan,5.49,0.645,22,Tracker,Public Sector,677,0.2051,E – Doubtful,2116,0.556,940,Stressed
1220,42,25224,42908,Mortgage,1.7,0.826,4,Variable,Employed,357,0.0765,C – Standard,362,0.172,64,Comfortable
1221,51,49217,157585,Personal Loan,3.2,0.528,6,Fixed,Employed,780,0.0739,C – Standard,1329,0.324,0,Stretched
1222,47,30876,239150,Personal Loan,7.75,0.915,12,Fixed,Employed,806,0.2061,E – Doubtful,2018,0.784,0,Stressed
1223,66,23660,143522,Mortgage,6.07,0.553,2,Tracker,Employed,802,0.1775,D – Substandard,1211,0.614,538,Stressed
1224,52,51921,183489,Mortgage,3.53,0.888,14,Fixed,Self-Employed,648,0.1361,D – Substandard,1548,0.358,0,Stretched
1225,41,60168,271817,Credit Card,4.52,0.692,16,Tracker,Employed,834,0.1422,D – Substandard,2293,0.457,1019,Stressed
1226,66,61157,188058,Personal Loan,3.08,0.87,27,Fixed,Self-Employed,680,0.0915,C – Standard,1586,0.311,0,Stretched
1227,26,62206,412237,Car Finance,6.63,0.929,6,Fixed,Public Sector,506,0.1847,D – Substandard,3478,0.671,0,Stressed
1228,67,21770,334316,Personal Loan,15.36,0.661,20,Variable,Employed,793,0.2039,E – Doubtful,2821,1.555,501,Stressed
1229,29,27677,168516,Mortgage,6.09,0.798,23,Tracker,Retired,450,0.1947,D – Substandard,1422,0.617,631,Stressed
1230,35,112294,161308,Mortgage,1.44,0.563,16,Tracker,Public Sector,764,0.0515,C – Standard,1361,0.145,604,Comfortable
1231,59,31576,37508,Personal Loan,1.19,0.85,31,Fixed,Public Sector,811,0.0506,C – Standard,316,0.12,0,Comfortable
1232,55,63357,150305,Mortgage,2.37,0.86,11,Fixed,Employed,548,0.0581,C – Standard,1268,0.24,0,Comfortable
1233,66,36735,85451,Credit Card,2.33,0.598,14,Variable,Retired,427,0.1096,D – Substandard,721,0.236,128,Comfortable
1234,56,50688,203145,Mortgage,4.01,0.462,1,Tracker,Employed,387,0.1605,D – Substandard,1714,0.406,761,Stressed
1235,51,37572,195649,Mortgage,5.21,0.666,14,Fixed,Public Sector,595,0.1781,D – Substandard,1650,0.527,0,Stressed
1236,37,62059,263740,Personal Loan,4.25,0.535,1,Variable,Employed,669,0.1286,D – Substandard,2225,0.43,395,Stressed
1237,22,51919,387770,Mortgage,7.47,0.859,34,Fixed,Employed,624,0.1915,D – Substandard,3272,0.756,0,Stressed
1238,27,40607,177291,Personal Loan,4.37,0.581,9,Variable,Employed,657,0.1674,D – Substandard,1496,0.442,265,Stressed
1239,35,31537,600000,Personal Loan,19.03,0.922,28,Fixed,Public Sector,313,0.2387,E – Doubtful,5063,1.926,0,Stressed
1240,23,54855,204402,Personal Loan,3.73,0.936,4,Tracker,Retired,325,0.2246,E – Doubtful,1724,0.377,766,Stretched
1241,45,29456,87498,Car Finance,2.97,0.904,10,Fixed,Self-Employed,444,0.1289,D – Substandard,738,0.301,0,Stretched
1242,57,58661,132040,Mortgage,2.25,0.75,5,Variable,Self-Employed,794,0.0546,C – Standard,1114,0.228,198,Comfortable
1243,66,147727,146530,Personal Loan,0.99,0.584,13,Variable,Employed,577,0.0946,C – Standard,1236,0.1,219,Comfortable
1244,44,86428,249115,Car Finance,2.88,0.854,21,Fixed,Other,484,0.0781,C – Standard,2102,0.292,0,Stretched
1245,62,66284,106831,Mortgage,1.61,0.801,15,Fixed,Employed,665,0.0427,B – Near Prime,901,0.163,0,Comfortable
1246,67,47289,152682,Mortgage,3.23,0.939,21,Variable,Retired,535,0.0903,C – Standard,1288,0.327,229,Stretched
1247,61,21714,164625,Mortgage,7.58,0.639,28,Variable,Public Sector,378,0.1947,D – Substandard,1389,0.768,246,Stressed
1248,43,28131,140580,Personal Loan,5.0,0.479,2,Variable,Employed,582,0.2096,E – Doubtful,1186,0.506,210,Stressed
1249,36,84016,281047,Personal Loan,3.35,0.949,15,Variable,Employed,683,0.1186,D – Substandard,2371,0.339,421,Stretched
1250,66,35182,255947,Mortgage,7.27,0.869,21,Fixed,Self-Employed,801,0.1202,D – Substandard,2159,0.736,0,Stressed
1251,33,36545,341673,Mortgage,9.35,0.561,18,Tracker,Retired,502,0.1576,D – Substandard,2883,0.947,1281,Stressed
1252,40,45726,149931,Mortgage,3.28,0.813,5,Fixed,Self-Employed,393,0.1176,D – Substandard,1265,0.332,0,Stretched
1253,25,31380,348498,Mortgage,11.11,0.45,8,Variable,Public Sector,776,0.1559,D – Substandard,2940,1.124,522,Stressed
1254,58,29282,84948,Mortgage,2.9,0.729,13,Tracker,Other,502,0.1039,D – Substandard,716,0.293,318,Stretched
1255,51,47992,83816,Personal Loan,1.75,0.631,23,Tracker,Employed,386,0.0843,C – Standard,707,0.177,314,Comfortable
1256,25,33710,92263,Credit Card,2.74,0.641,34,Fixed,Employed,575,0.1228,D – Substandard,778,0.277,0,Comfortable
1257,32,35910,180785,Personal Loan,5.03,0.572,13,Fixed,Self-Employed,332,0.2185,E – Doubtful,1525,0.51,0,Stressed
1258,47,35309,348470,Car Finance,9.87,0.587,18,Variable,Employed,845,0.1821,D – Substandard,2940,0.999,522,Stressed
1259,46,61046,129161,Credit Card,2.12,0.677,11,Fixed,Public Sector,728,0.0712,C – Standard,1089,0.214,0,Comfortable
1260,58,44467,138388,Personal Loan,3.11,0.574,2,Variable,Employed,541,0.1181,D – Substandard,1167,0.315,207,Stretched
1261,34,45478,159722,Personal Loan,3.51,0.683,14,Fixed,Self-Employed,599,0.1526,D – Substandard,1347,0.355,0,Stretched
1262,64,62989,246484,Car Finance,3.91,0.739,12,Fixed,Employed,519,0.0856,C – Standard,2079,0.396,0,Stretched
1263,42,46181,138317,Personal Loan,3.0,0.806,6,Fixed,Public Sector,557,0.092,C – Standard,1167,0.303,0,Stretched
1264,59,43613,134137,Mortgage,3.08,0.789,23,Variable,Employed,814,0.0437,B – Near Prime,1131,0.311,201,Stretched
1265,32,59729,85822,Mortgage,1.44,0.571,9,Variable,Self-Employed,699,0.0514,C – Standard,724,0.145,128,Comfortable
1266,23,64902,131341,Personal Loan,2.02,0.47,8,Fixed,Employed,663,0.065,C – Standard,1108,0.205,0,Comfortable
1267,24,46084,343727,Car Finance,7.46,0.866,14,Fixed,Public Sector,837,0.1721,D – Substandard,2900,0.755,0,Stressed
1268,39,50708,189095,Personal Loan,3.73,0.886,33,Fixed,Employed,389,0.1491,D – Substandard,1595,0.377,0,Stretched
1269,65,35300,119740,Mortgage,3.39,0.939,22,Variable,Self-Employed,799,0.1247,D – Substandard,1010,0.343,179,Stretched
1270,24,34149,355002,Personal Loan,10.4,0.93,15,Variable,Public Sector,396,0.2519,E – Doubtful,2995,1.052,532,Stressed
1271,38,67713,130370,Car Finance,1.93,0.767,28,Tracker,Employed,442,0.0927,C – Standard,1100,0.195,488,Comfortable
1272,27,59093,392768,Personal Loan,6.65,0.897,1,Tracker,Employed,654,0.1918,D – Substandard,3314,0.673,1472,Stressed
1273,64,59351,389252,Mortgage,6.56,0.674,12,Fixed,Employed,375,0.2144,E – Doubtful,3284,0.664,0,Stressed
1274,53,55158,185499,Mortgage,3.36,0.844,19,Tracker,Self-Employed,556,0.0731,C – Standard,1565,0.34,695,Stretched
1275,57,49981,78889,Mortgage,1.58,0.928,17,Fixed,Employed,484,0.0756,C – Standard,665,0.16,0,Comfortable
1276,54,65676,600000,Car Finance,9.14,0.848,23,Variable,Employed,304,0.2622,E – Doubtful,5063,0.925,900,Stressed
1277,52,72601,222571,Mortgage,3.07,0.658,24,Fixed,Employed,400,0.0847,C – Standard,1878,0.31,0,Stretched
1278,57,71877,150521,Car Finance,2.09,0.639,16,Variable,Employed,546,0.0926,C – Standard,1270,0.212,225,Comfortable
1279,22,46989,304330,Mortgage,6.48,0.596,32,Variable,Employed,346,0.1563,D – Substandard,2568,0.656,456,Stressed
1280,61,87775,264677,Credit Card,3.02,0.634,32,Fixed,Employed,816,0.1125,D – Substandard,2233,0.305,0,Stretched
1281,56,53957,369910,Mortgage,6.86,0.86,17,Tracker,Self-Employed,535,0.2127,E – Doubtful,3121,0.694,1387,Stressed
1282,56,63933,124954,Personal Loan,1.95,0.801,31,Tracker,Self-Employed,711,0.0997,C – Standard,1054,0.198,468,Comfortable
1283,40,55186,214306,Personal Loan,3.88,0.575,22,Tracker,Employed,412,0.1294,D – Substandard,1808,0.393,803,Stretched
1284,58,54379,93692,Personal Loan,1.72,0.806,5,Fixed,Retired,607,0.0712,C – Standard,790,0.174,0,Comfortable
1285,39,35989,259492,Personal Loan,7.21,0.64,5,Tracker,Employed,362,0.235,E – Doubtful,2189,0.73,973,Stressed
1286,24,65812,177616,Mortgage,2.7,0.729,3,Variable,Public Sector,407,0.0792,C – Standard,1498,0.273,266,Comfortable
1287,63,161946,209935,Mortgage,1.3,0.635,8,Variable,Self-Employed,676,0.0677,C – Standard,1771,0.131,314,Comfortable
1288,32,41880,165960,Mortgage,3.96,0.711,11,Fixed,Employed,484,0.0856,C – Standard,1400,0.401,0,Stressed
1289,26,50504,156679,Personal Loan,3.1,0.815,3,Tracker,Public Sector,840,0.1013,D – Substandard,1322,0.314,587,Stretched
1290,50,40643,111577,Personal Loan,2.75,0.816,21,Variable,Employed,848,0.082,C – Standard,941,0.278,167,Comfortable
1291,32,39935,277822,Mortgage,6.96,0.827,14,Variable,Other,372,0.2385,E – Doubtful,2344,0.704,416,Stressed
1292,61,93776,408128,Personal Loan,4.35,0.646,21,Tracker,Self-Employed,662,0.1998,D – Substandard,3444,0.441,1530,Stressed
1293,42,36951,132433,Mortgage,3.58,0.795,18,Fixed,Employed,730,0.0834,C – Standard,1117,0.363,0,Stretched
1294,22,40170,243883,Mortgage,6.07,0.569,10,Variable,Employed,451,0.227,E – Doubtful,2058,0.615,365,Stressed
1295,65,25166,228136,Mortgage,9.07,0.689,21,Fixed,Self-Employed,762,0.1532,D – Substandard,1925,0.918,0,Stressed
1296,45,35660,180674,Personal Loan,5.07,0.742,33,Fixed,Employed,705,0.1655,D – Substandard,1524,0.513,0,Stressed
1297,34,23920,77681,Mortgage,3.25,0.793,11,Fixed,Employed,478,0.094,C – Standard,655,0.329,0,Stretched
1298,53,63918,87914,Car Finance,1.38,0.906,11,Fixed,Retired,350,0.0671,C – Standard,741,0.139,0,Comfortable
1299,46,158874,117062,Personal Loan,0.74,0.602,18,Fixed,Employed,543,0.0552,C – Standard,987,0.075,0,Comfortable
1300,23,42023,55467,Personal Loan,1.32,0.873,28,Fixed,Employed,503,0.0775,C – Standard,468,0.134,0,Comfortable
1301,56,24342,390200,Mortgage,16.03,0.606,19,Fixed,Employed,590,0.1202,D – Substandard,3292,1.623,0,Stressed
1302,40,71539,220187,Personal Loan,3.08,0.726,29,Variable,Self-Employed,426,0.1123,D – Substandard,1858,0.312,330,Stretched
1303,54,36123,176932,Car Finance,4.9,0.864,3,Fixed,Self-Employed,471,0.1692,D – Substandard,1493,0.496,0,Stressed
1304,63,84603,53926,Mortgage,0.64,0.812,4,Fixed,Self-Employed,792,0.0642,C – Standard,455,0.065,0,Comfortable
1305,50,43544,65964,Mortgage,1.51,0.881,14,Fixed,Retired,763,0.031,B – Near Prime,556,0.153,0,Comfortable
1306,52,37595,179640,Mortgage,4.78,0.857,8,Fixed,Employed,704,0.1014,D – Substandard,1515,0.484,0,Stressed
1307,33,45490,531665,Mortgage,11.69,0.588,1,Fixed,Employed,494,0.1693,D – Substandard,4486,1.183,0,Stressed
1308,32,67390,122485,Mortgage,1.82,0.946,8,Tracker,Employed,573,0.0721,C – Standard,1033,0.184,459,Comfortable
1309,41,44555,289262,Personal Loan,6.49,0.918,10,Variable,Employed,461,0.1963,D – Substandard,2440,0.657,433,Stressed
1310,61,39790,138144,Mortgage,3.47,0.665,32,Fixed,Employed,524,0.0818,C – Standard,1165,0.351,0,Stretched
1311,46,45093,185420,Car Finance,4.11,0.474,27,Fixed,Employed,584,0.1349,D – Substandard,1564,0.416,0,Stressed
1312,38,28733,350836,Mortgage,12.21,0.602,12,Fixed,Public Sector,772,0.1149,D – Substandard,2960,1.236,0,Stressed
1313,57,57916,148706,Personal Loan,2.57,0.868,33,Variable,Employed,737,0.0596,C – Standard,1254,0.26,223,Comfortable
1314,61,23145,123061,Credit Card,5.32,0.925,29,Tracker,Retired,407,0.279,E – Doubtful,1038,0.538,461,Stressed
1315,63,40679,392361,Mortgage,9.65,0.866,9,Fixed,Retired,819,0.1416,D – Substandard,3310,0.976,0,Stressed
1316,35,67436,184435,Mortgage,2.73,0.648,17,Fixed,Employed,341,0.0846,C – Standard,1556,0.277,0,Comfortable
1317,54,55674,327801,Personal Loan,5.89,0.478,32,Variable,Public Sector,326,0.2136,E – Doubtful,2766,0.596,491,Stressed
1318,49,62814,123390,Mortgage,1.96,0.709,16,Fixed,Self-Employed,768,0.0396,B – Near Prime,1041,0.199,0,Comfortable
1319,42,47699,389909,Personal Loan,8.17,0.638,13,Fixed,Employed,455,0.2198,E – Doubtful,3290,0.828,0,Stressed
1320,40,80121,209084,Car Finance,2.61,0.511,31,Variable,Self-Employed,771,0.0544,C – Standard,1764,0.264,313,Comfortable
1321,27,72285,228463,Personal Loan,3.16,0.503,23,Variable,Employed,337,0.1463,D – Substandard,1927,0.32,342,Stretched
1322,34,59123,193376,Credit Card,3.27,0.527,15,Fixed,Employed,433,0.1268,D – Substandard,1631,0.331,0,Stretched
1323,47,72371,136214,Mortgage,1.88,0.553,30,Tracker,Public Sector,753,0.0507,C – Standard,1149,0.191,510,Comfortable
1324,62,67183,179705,Mortgage,2.67,0.827,26,Fixed,Self-Employed,407,0.0829,C – Standard,1516,0.271,0,Comfortable
1325,61,40758,141008,Mortgage,3.46,0.641,12,Fixed,Employed,585,0.0862,C – Standard,1189,0.35,0,Stretched
1326,30,27877,304903,Personal Loan,10.94,0.668,15,Variable,Self-Employed,696,0.195,D – Substandard,2572,1.107,457,Stressed
1327,53,58486,160864,Mortgage,2.75,0.749,2,Variable,Other,491,0.0849,C – Standard,1357,0.278,241,Comfortable
1328,25,61657,78977,Mortgage,1.28,0.93,4,Variable,Employed,378,0.0931,C – Standard,666,0.13,118,Comfortable
1329,53,77497,71418,Credit Card,0.92,0.828,33,Variable,Employed,758,0.0986,C – Standard,602,0.093,107,Comfortable
1330,37,33082,69585,Mortgage,2.1,0.773,2,Variable,Employed,642,0.0613,C – Standard,587,0.213,104,Comfortable
1331,42,33499,252681,Mortgage,7.54,0.822,29,Tracker,Retired,801,0.1583,D – Substandard,2132,0.764,947,Stressed
1332,55,59465,95480,Mortgage,1.61,0.81,8,Variable,Employed,685,0.0494,B – Near Prime,805,0.162,143,Comfortable
1333,41,47577,212149,Mortgage,4.46,0.795,19,Fixed,Employed,709,0.1538,D – Substandard,1790,0.451,0,Stressed
1334,59,22202,193903,Mortgage,8.73,0.698,25,Variable,Self-Employed,642,0.1943,D – Substandard,1636,0.884,290,Stressed
1335,46,57385,173582,Mortgage,3.02,0.733,34,Fixed,Employed,668,0.0357,B – Near Prime,1464,0.306,0,Stretched
1336,67,22516,228918,Mortgage,10.17,0.681,13,Variable,Employed,534,0.1649,D – Substandard,1931,1.029,343,Stressed
1337,51,32958,196234,Car Finance,5.95,0.647,32,Fixed,Public Sector,809,0.1268,D – Substandard,1655,0.603,0,Stressed
1338,35,86483,40523,Mortgage,0.47,0.585,16,Fixed,Self-Employed,748,0.0481,B – Near Prime,341,0.047,0,Comfortable
1339,57,105498,150543,Personal Loan,1.43,0.628,30,Variable,Employed,433,0.0884,C – Standard,1270,0.144,225,Comfortable
1340,40,29419,227250,Personal Loan,7.72,0.664,4,Variable,Retired,811,0.209,E – Doubtful,1917,0.782,340,Stressed
1341,46,42687,443368,Personal Loan,10.39,0.74,10,Fixed,Employed,428,0.2166,E – Doubtful,3741,1.052,0,Stressed
1342,28,49906,454772,Car Finance,9.11,0.7,22,Fixed,Employed,688,0.1938,D – Substandard,3837,0.923,0,Stressed
1343,27,103581,84988,Mortgage,0.82,0.504,25,Tracker,Employed,806,0.045,B – Near Prime,717,0.083,318,Comfortable
1344,48,39854,148397,Mortgage,3.72,0.62,28,Tracker,Employed,530,0.1196,D – Substandard,1252,0.377,556,Stretched
1345,30,40123,76011,Mortgage,1.89,0.638,13,Fixed,Self-Employed,401,0.0869,C – Standard,641,0.192,0,Comfortable
1346,67,93944,414959,Mortgage,4.42,0.803,22,Fixed,Employed,847,0.0847,C – Standard,3501,0.447,0,Stressed
1347,61,41881,313975,Car Finance,7.5,0.616,22,Fixed,Employed,736,0.1582,D – Substandard,2649,0.759,0,Stressed
1348,54,66391,218124,Personal Loan,3.29,0.454,34,Fixed,Other,547,0.1173,D – Substandard,1840,0.333,0,Stretched
1349,55,26359,197077,Mortgage,7.48,0.492,4,Fixed,Employed,845,0.1383,D – Substandard,1663,0.757,0,Stressed
1350,49,45619,384364,Mortgage,8.43,0.698,1,Tracker,Employed,363,0.2431,E – Doubtful,3243,0.853,1441,Stressed
1351,24,24415,350189,Car Finance,14.34,0.544,20,Fixed,Employed,589,0.2065,E – Doubtful,2955,1.452,0,Stressed
1352,40,31467,340076,Personal Loan,10.81,0.697,1,Fixed,Public Sector,400,0.2125,E – Doubtful,2869,1.094,0,Stressed
1353,44,69735,231231,Mortgage,3.32,0.737,7,Fixed,Employed,401,0.0968,C – Standard,1951,0.336,0,Stretched
1354,64,48004,148438,Car Finance,3.09,0.917,18,Fixed,Employed,491,0.1158,D – Substandard,1252,0.313,0,Stretched
1355,32,42872,274283,Personal Loan,6.4,0.778,10,Fixed,Public Sector,615,0.1854,D – Substandard,2314,0.648,0,Stressed
1356,44,35793,281763,Mortgage,7.87,0.466,10,Fixed,Employed,394,0.1644,D – Substandard,2377,0.797,0,Stressed
1357,37,44681,161967,Mortgage,3.62,0.64,12,Fixed,Public Sector,586,0.0954,C – Standard,1366,0.367,0,Stretched
1358,28,55629,148273,Personal Loan,2.67,0.847,24,Variable,Self-Employed,728,0.1008,D – Substandard,1251,0.27,222,Comfortable
1359,26,74074,335481,Mortgage,4.53,0.58,13,Fixed,Public Sector,380,0.1492,D – Substandard,2830,0.458,0,Stressed
1360,38,18000,449218,Credit Card,24.96,0.912,27,Variable,Employed,307,0.2179,E – Doubtful,3790,2.527,673,Stressed
1361,25,34567,119113,Personal Loan,3.45,0.715,6,Tracker,Other,710,0.1552,D – Substandard,1005,0.349,446,Stretched
1362,25,52408,155615,Personal Loan,2.97,0.496,4,Fixed,Employed,523,0.1245,D – Substandard,1313,0.301,0,Stretched
1363,38,47027,218166,Personal Loan,4.64,0.571,6,Fixed,Employed,404,0.1436,D – Substandard,1841,0.47,0,Stressed
1364,31,58070,235067,Credit Card,4.05,0.903,32,Tracker,Public Sector,783,0.1644,D – Substandard,1983,0.41,881,Stressed
1365,47,54850,134955,Mortgage,2.46,0.946,10,Fixed,Employed,534,0.0534,C – Standard,1138,0.249,0,Comfortable
1366,22,43129,506832,Mortgage,11.75,0.882,2,Fixed,Employed,364,0.2367,E – Doubtful,4276,1.19,0,Stressed
1367,35,39289,226874,Personal Loan,5.77,0.61,11,Tracker,Self-Employed,469,0.2871,E – Doubtful,1914,0.585,850,Stressed
1368,42,44218,240929,Mortgage,5.45,0.834,24,Variable,Employed,616,0.1602,D – Substandard,2033,0.552,361,Stressed
